sense_1,sense_2,mark
"to calculate, count",to take into account,1
"to calculate, count",to respect,1
to find,to have opinion,1
to taste,"to try, to attempt",1
"to go, walk",to find,1
to think,"to recall, recollect",1
"to turn, rotate (intr.)",to become,1
to know,"to know how, to be able",1
"to search, to look for","to try, to attempt",1
to speak,to read,1
"to calculate, count",to tell,1
"to calculate, count",to read,1
"to calculate, count",to have opinion,1
"to grasp, seize","to get, obtain",1
<hat>,fool,1
sweet (taste),lovely,1
to hear / to listen,to understand,1
to remind,to be alike,1
to hold (in hands),to last,1
to catch fire,"to fight, scuffle",1
to come,"to get, obtain",1
"to get, obtain","can, to be able",1
"to get, obtain",to manage to do smth,1
to reach,"to get, obtain",1
to find,"to get, obtain",1
"to get, obtain",to contain,1
"to get, obtain",to receive visitors,1
"to get, obtain",to become infected,1
"to get, obtain",must,1
free,"can, to be able",1
"to get, obtain",to wait,1
to hear / to listen,to obey,1
to see/to look at,to have opinion,1
to see/to look at,"to try, to attempt",1
to see/to look at,to wait,1
to fall down,to meet accidentally,1
to meet,to like,1
to find,to meet,1
to taste,to like,1
to smile,to like,1
to want,to love,1
to see/to look at,to seem,1
dog,seal (animal),1
belly,location of emotions,1
air,weather,1
"to walk, wander","to loaf, do nothing",1
memory,respect (n.),1
time,weather,1
wind,window,1
sharp,spicy,1
to sting,spicy,1
boy,servant,1
right (vs. left),competent,1
correct (adj.),right (vs. left),1
straight,right (vs. left),1
straight,correct (adj.),1
summer,year,1
storm,winter,1
"to burst, break",to die,1
noon,south,1
to make noise,to speak,1
light (of colour),comprehensible,1
morning,tomorrow,1
hot,recent,1
when,if,1
part,destiny,1
flower,colour,1
sweet (taste),fresh (of water),1
spruce (Picea),abies (Abies),1
morning,spring (season),1
"branch, twig",willow,1
to listen,to keep silent,1
"to burst, break",to be angry,1
"to turn, rotate (tr.)",to distort,1
"to turn, rotate (tr.)",to translate,1
"to pull, to draw",inclination to smth,1
"to pull, to draw",to endure,1
"to pull, to draw",to row (with oars),1
to sweep,to distract,1
"to call (somebody), to call for",to cause,1
wet,raw,1
wet,inexperienced,1
wet,weak,1
lightning,quick,1
poor,desert (n.),1
to go out,to cost,1
to go out,"to fade, lose colour",1
to go out,to dislocate (of a joint),1
to go out,to become infected,1
inflated,proud,1
cold (adj.),to fear,1
"hard, solid",obstinate,1
"to search, to look for",to ask (for),1
top,beginning,1
white,clever,1
white,silver,1
white,iron,1
"to mix, stir","to worry, be agitated",1
thief,enemy,1
lean,greedy,1
time,opportunity,1
dry,emotionless,1
to shake,to distort,1
oar,"shoulder-blade, scapula",1
to throw,to leave,1
to give birth,to cause,1
quick,"skilful, dexterous",1
"to turn, rotate (intr.)","shoulder-blade, scapula",1
corner,gulf,1
cheerful,"profligate, womanizer",1
to shrink,to understand,1
"to turn, rotate (intr.)",to reincarnate,1
mud,"false, untrue",1
to press down,to guess,1
flower,fire,1
eunuch,woman,1
heavenly body,week,1
sun,Sunday,1
Venus,Friday,1
Saturn,Saturday,1
Jupiter,Thursday,1
Mars,Tuesday,1
moon,Monday,1
Mercury,Wednesday,1
shine (n.),fame,1
clever,cautious,1
"to grasp, seize",inclination to smth,1
to suffer,to endure,1
to endure,to forgive,1
opposite,"false, wrong",1
to take prisoner,"to charm, to delight",1
to drag,"to charm, to delight",1
to close one's eyes,to die,1
to close one's eyes,"to ignore, not to greet somebody",1
to bind to,to love,1
"opening, hole",genitalia,1
shame,genitalia,1
egg,testicle,1
"nut, hazel",testicle,1
potato,testicle,1
to clean,"to cure, treat (medically)",1
fire,Tuesday,1
water,Wednesday,1
tree,Thursday,1
metal,Friday,1
earth,Saturday,1
hot,spicy,1
tasteless,boring,1
narrow,sad,1
young,husband,1
warm,gay,1
near,cheap,1
"to drive, to force to move on",to tell lie,1
to return (tr.),to answer,1
"to turn, rotate (intr.)",to return (intr.),1
skirt,whore,1
foam,"chatter, idle talk",1
to shoot,to tell lie,1
to heat up,to get drunk,1
"to beat, hit",to eat,1
"to beat, hit",to tell lie,1
puppy (of a dog),inexperienced,1
to hunt,to flirt,1
"to braid, plait, weave",to copulate,1
to put into,to eat,1
to press down,to visit,1
to press down,"to approach, come near",1
to correct,"to cure, treat (medically)",1
heavy (of weight),stupid,1
to break (tr.),to confess,1
"naked, bare",raw,1
"footprint, track",behind,1
last,next,1
to sleep,to copulate,1
to get tired,to be ill,1
neck,back of the head,1
neck,pride,1
flexible,"compliant, pliable",1
to get tired,to forget,1
heart,essence,1
<disease>,to choose,1
"sign, designation",genitalia,1
heel (of a foot),edge,1
edge,last,1
heel (of a foot),behind,1
brave,tiger,1
to fly away,"to evaporate, exhale",1
to vomit,to quarrel,1
dry,in vain,1
to bind,"acerb, tart, harsh (taste or smell)",1
simple,soon,1
cold (adj.),"acerb, tart, harsh (taste or smell)",1
to be jealous,to envy,1
white,beautiful,1
interest,respect (n.),1
"to soil, make dirty",to waste,1
tree,coffin,1
horn,bone,1
bridge,floor (vs. ceiling),1
arrow,rainbow,1
shadow,"reflection (in the mirror, water)",1
"to walk, wander",to visit,1
clean (adj.),"totally, absolutely",1
short (size),poor,1
to dye,to boast,1
falcon,"brawler, fighter",1
to shear,to destroy,1
to press down,to make do smth.,1
to itch,to be angry,1
strong,strong (of liquid or smell),1
wind,anger,1
brain (cerebrum),head,1
"power, authority","country, land",1
strength,army,1
"skilful, dexterous",comfortable,1
"wide, broad",flat (adj),1
"to present, gift",to deceive,1
"to spring, jump",to rise (of heavenly bodies),1
to sit,to give birth,1
"bowels, intestine",pregnant,1
to die,very,1
to die,eclipse,1
long (period of time),long ago,1
to cover,to copulate,1
"thick (of a growth, hair)","bass, low-pitched voice",1
inner side of hide,"bast, the layer under the bark",1
"to tear off, peel off","to carp, find faults",1
"footprint, track",affair,1
to make scratches,to write,1
to wash,to celebrate,1
"to present, gift",to forgive,1
"to grasp, seize",to understand,1
opposite,enemy,1
lower part,behind,1
to suffer,to fear,1
amazing,"fearful, dreadful",1
good,new,1
top,good,1
to diminish,tasteless,1
mind (n.),location of emotions,1
to understand,"to recall, recollect",1
curved,"false, untrue",1
right (vs. left),thief,1
light (of colour),clever,1
wave,sail (n.),1
flat (adj),equal,1
pot,womb,1
to throw,to think,1
to crawl,snake,1
to float,to soar,1
thief,"profligate, womanizer",1
sad,fool,1
"people, nation",servant,1
"to try, to attempt","to care for, look after",1
to go down,to begin,1
to go down,to appoint (to a position),1
numerous,cheap,1
to sink into,gloomy,1
to dig,to investigate,1
to dig,angry,1
"narrow, close",boring,1
servant,I,1
lord,you,1
bitter,beautiful,1
poisonous,sarcastic,1
expensive,important,1
"to bend, bow (intr.)",tender (adj.),1
"stone, rock",glass (material),1
straight,sober,1
