sense_1,sense_2,mark,lang,features_1,features_2,sim_feature,pos_1,pos_2,sim_pos,fuzz,cosine
"['to calculate', 'count']",['to take into account'],1,eng,"['intend', 'reason', 'predict', 'trust', 'evaluate']",['calculate'],0,VERB,VERB,True,0.0,0.6288639903068542
"['to calculate', 'count']",['to respect'],1,eng,"['intend', 'reason', 'predict', 'trust', 'evaluate']","['honor', 'courtesy', 'filial_duty', 'politeness', 'attitude', 'detail', 'affection', 'accept', 'see']",0,VERB,VERB,True,0.0,0.4226566255092621
['to find'],['to have opinion'],1,eng,"['mature', 'insight', 'learn', 'perceive', 'reach', 'reason', 'change', 'pronounce', 'get', 'experience', 'act', 'spy', 'gestate']",[],0,VERB,VERB,True,0.0,0.4208705723285675
['to taste'],"['to try', 'to attempt']",1,eng,"['consume', 'perceive', 'modality', 'sensation', 'liking', 'sensing', 'exteroception', 'taste', 'discrimination', 'identify', 'experience', 'know', 'small_indefinite_quantity']","['consume', 'wear', 'afflict', 'decide', 'melt', 'pain', 'probe', 'act', 'evaluate', 'activity']",1,VERB,VERB,True,0.0,0.6368643045425415
"['to go', 'walk']",['to find'],1,eng,"['board_game', 'act', 'happen', 'fit', 'attempt', 'cause_to_be_perceived', 'change_state', 'change', 'exit', 'end', 'compare', 'disappear', 'methylenedioxymethamphetamine', 'search', 'choose', 'shift', 'harmonize', 'be']","['mature', 'insight', 'learn', 'perceive', 'reach', 'reason', 'change', 'pronounce', 'get', 'experience', 'act', 'spy', 'gestate']",1,VERB,VERB,True,0.0,0.6623579263687134
['to think'],"['to recall', 'recollect']",1,eng,"['think', 'deliberation', 'imagine', 'expect', 'concentrate', 'change', 'evaluate']","['take', 'request', 'denote', 'memory', 'cancel', 'resemble', 'concentrate', 'bugle_call', 'call', 'abrogation']",1,VERB,VERB,True,0.0,0.5878189206123352
"['to turn', 'rotate']",['to become'],1,eng,"['turn', 'injure', 'till', 'curve', 'discolor', 'change_of_course', 'activity', 'performance', 'development', 'walk', 'favor', 'part', 'change', 'transform', 'movement', 'change_shape', 'travel', 'shape', 'do', 'send', 'change_state', 'move', 'change_of_direction', 'shift', 'rotation', 'operate', 'aim', 'appeal', 'get', 'senesce', 'transmit']","['fancify', 'transform', 'change_state']",1,VERB,VERB,True,0.0,0.7962424755096436
['to know'],"['to know how', 'to be able']",1,eng,"['remember', 'knowing', 'recognize', 'copulate', 'distinguish', 'accept', 'experience']",[],0,VERB,VERB,True,0.0,0.8212109804153442
"['to search', 'to look for']","['to try', 'to attempt']",1,eng,"['higher_cognitive_process', 'examine', 'operation', 'investigation', 'examination', 'investigate', 'activity', 'expect']","['consume', 'wear', 'afflict', 'decide', 'melt', 'pain', 'probe', 'act', 'evaluate', 'activity', 'crime', 'act', 'activity', 'initiate']",1,VERB,VERB,True,0.0,0.5989875197410583
['to speak'],['to read'],1,eng,"['sound', 'communicate']","['publication', 'understand', 'audition', 'predict', 'talk', 'interpret', 'indicate', 'have']",0,VERB,VERB,True,0.0,0.6576826572418213
