sense_1,sense_2,main_cl
наставлять поучать друг друга давать советы друг другу,сговариваться сговориться друг с другом,3074
избивать избить друг друга,драться подраться друг с другом,1336
выхаживать выходить друг друга,помогать помочь друг другу,3060
выгонять выгнать друг друга из под чего,разоблачать разоблачить друг друга,1331
таскать друг друга схватившись за волосы ворот и,тянуть потянуть тащить потащить друг друга,3081
выводить вывести друг друга из помещения,выводить выве сти друг друга для драки из помещения,2685
избивать избить друг друга,драться подраться друг с другом,1336
валить повалить друг друга,оставлять оставить покидать покинуть друг друга чаще о супругах,3080
быть прибитыми друг к другу,склеиваться склеиться друг с другом,1337
вываливать вывалять друг друга в чём,избивать избить друг друга,1337
не давать покоя друг другу мешать друг другу,не уживаться не ужиться друг с другом,3082
держаться ухватиться друг за друга,быть сплочёнными,3083
дурачить одурачивать одурачить друг друга оставлять оставить друг друга в дураках,сводить свести с ума друг друга,2929
торопить поторапливать поторопить друг друга,быть причиной волнения друг друга,2686
кружить покружить друг друга взявшись за руки или обнявшись,схватываться схватиться сцепляться сцепиться друг с другом в драке,3084
гонять друг друга заставлять заставить бегать друг друга,гнаться погнаться друг за другом,3107
стравливать стравить кого друг с другом,ссорить поссорить кого друг с другом,1328
грызться кусаться драться друг с другом о собаках волках и нырчвн г арчви г влак абафит загадка с этой и с той стороны реки две собаки грызутся отгадка псарт ножницы,ссориться поссориться друг с другом,3085
грызться кусаться драться друг с другом о собаках волках и нырчвн г арчви г влак абафит загадка с этой и с той стороны реки две собаки грызутся отгадка псарт ножницы,ссориться поссориться друг с другом,3085
грызться кусаться драться друг с другом о собаках волках и нырчвн г арчви г влак абафит загадка с этой и с той стороны реки две собаки грызутся отгадка псарт ножницы,грызня,1341
грызться кусаться драться друг с другом о собаках волках и нырчвн г арчви г влак абафит загадка с этой и с той стороны реки две собаки грызутся отгадка псарт ножницы,ссора перебранка,1341
грызться кусаться драться друг с другом о собаках волках и нырчвн г арчви г влак абафит загадка с этой и с той стороны реки две собаки грызутся отгадка псарт ножницы,ссора перебранка,1341
целый весь,целый цельный,197
целый весь,живой целый невредимый,515
раскалываться расколоться о льде дереве,полнеть пополнеть располнеть поправляться поправиться,1130
пинать пнуть ногой кого что,прыгать прыгнуть на кого что,1878
сидеть на лежащем,сидеть будучи завёрнутым во что напр о ребёнке,3018
беспокойный,беспокоиться волноваться тревожиться встревожиться,1478
мчаться промчаться нестись пронестись мимо кого чего,течь протекать мимо чего о реке,2306
готовый приготовленный,обеспеченный зажиточный,0
подходить подойти к кому чему,становиться стать вплотную к чему,2688
подходить подойти к кому чему, становиться (стать) вплотную друг к другу,2867
земля,почва,37
земля,земельный,933
земля,земельный,933
земля,почвенный,37
подводить подвести кого к кому чему,устраивать устроить у себя кого,2842
подводить подвести кого друг к другу,мирить помирить примирить кого друг с другом,1328
перех сталкивать столкнуть кого что друг с другом,неперех ударяться удариться друг о друга,3087
соизмерять соизмерить что с чем наложив одно на другое,собирать собрать копить накопить что,2631
прикладывать приложить что к чему,наговаривать наговорить что на кого,2605
отходить отойти от кого чего,отказываться отказаться отрекаться отречься от кого чего,2966
отходить отойти от кого чего,отход,2978
отходить отойти от кого чего,п ерен отречение,2689
оказываться оказаться очутиться рядом с кем чем,встречаться встретиться с кем,1374
столпиться сгрудиться,крепко прижиматься прижаться друг к другу,1487
сдвигать сдвинуть что ранее отодвинутое друг от друга напр стулья столы и,мирить примирить поссорившихся ит л,1360
придвигать придвинуть к чему ранее отодвинутое," сдвигать, сдвинуть что (ранее отодвинутое друг от друга, напр. стулья, столы и ",2053
сталкиваться столкнуться друг с другом ударяться удариться стукнуться друг о друга,прикасаться прикоснуться друг к Другу,3087
отходить отойти от кого чего аблын адыц ра отойти от стены,уходить уйти с работы увольняться уволиться,2695
отходить отойти от кого чего аблын адыц ра отойти от стены,отказываться отказаться отрекаться отречься от кого чего,2689
отходить отойти от кого чего аблын адыц ра отойти от стены,шкар расходиться разойтись разводиться развестись о супругах в,2691
отходить отойти от кого чего аблын адыц ра отойти от стены,шкар расходиться разойтись разводиться развестись о супругах в,2691
отходить отойти от кого чего аблын адыц ра отойти от стены,уход,2978
отходить отойти от кого чего аблын адыц ра отойти от стены,отход,2978
отходить отойти от кого чего аблын адыц ра отойти от стены,отказ отречение,2689
отходить отойти от кого чего аблын адыц ра отойти от стены,шкар развод,2978
отходить отойти от кого чего аблын адыц ра отойти от стены,шкар развод,2978
сшивать сшить стачивать стачать что,пришивать пришить что к чему,2007
слово,речь,678
слово,речь,678
слово,речь,678
толпиться столпиться скапливаться скопиться сбегаться сбежаться в одно место,хлынуть нахлынуть набегать набежать,2277
перех собирать собрать что копить что накопить чего,неперех заниматься собиранием накоплением,2631
слушать прослушать что,повиноваться слушаться послушаться,1251
собирать собрать что в одно место,сгонять согнать кого в одно место,3019
оставаться остаться на попечении друг у друга,оставаться остаться у кого,2661
бежать побежать подбегать подбежать к кому чему,бежать побежать подбегать подбежать друг к другу,2277
бежать побежать подбегать подбежать к кому чему,бежать побежать подбегать подбежать друг к другу,2277
рваться в драку с кем,рваться в драку друг с другом,3089
рваться в драку с кем,грозить пригрозить друг другу,2837
друг приятель,отец невестки по отношению к родственникам мужа,3058
быть друзьями,находиться в родственных отношениях об отие невестки и родственниках её мужа,3053
быть друзьями,находиться в родственных отношениях об отие невестки и родственниках её мужа,3053
экономить что на чём,жалеть пожалеть щадить пощадить кого что,2669
нравиться понравиться кому,соблазняться соблазниться чем,2497
неприличный,позорный,111
воевать сражаться сразиться с кем чем,ругаться поругаться ссориться поссориться с кем,3099
воевать сражаться сразиться с кем чем,война бой сражение,3115
воевать сражаться сразиться с кем чем,война бой сражение,3115
воевать сражаться сразиться с кем чем,ругань ссора,2642
короткий недлинный,короткий непродолжительный,972
короткий недлинный,короткий непродолжительный,972
короткий недлинный,короткий краткий,972
подходящие соответствующие друг другу,достойные друг друга,3061
подходить соответствовать друг другу,быть достойными друг друга,1321
перех и неперех ссыпать ссыпать в кучу что и без доп,перех и неперех собирать собрать в кучу что и без доп,2405
перех и неперех ссыпать ссыпать в кучу что и без доп,перех набрасывать набросать в кучу чего,2405
протирать протереть вытирать вытереть что,чистить почистить что чем,2607
вбегать вбежать на что,выбегать выбежать куда,2687
возвращаться вернуться к ранее начатому или сделанному,возвращаться вернуться за чем,2594
перетаскивать перетащить кого что через что,натаскивать натащить что на лежащее йквх вх вара перех нагребать нагрести что на лежащее,2779
перех складывать сложить друг на друга что,неперех заниматься заняться складыванием чего друг на друга,1339
поливать полить что,белить побелить что,1408
биться ударяться удариться друг о друга,встречаться встретиться друг с другом,3111
биться ударяться удариться друг о друга,встреча,3087
наваливаться навалиться налегать налечь на кого что,наваливаться навалиться нападать напасть набрасываться наброситься на кого требуя принуждая к и,2971
не совпадать не совпасть расходиться разойтись о мнениях действиях,разминуться разойтись не встретиться в пути в дороге,2243
не попадать не попасть в кого что промахиваться промахнуться," не совпадать, не совпасть, расходиться, разойтись (о мнениях, действиях)",2692
накладывать наложить что друг на друга,избивать избить многих,2726
соединять соединить что чем с чем,сливать слить объединять объединить кого что,3113
передраться а многих,перестре ливаться о многих,451
передраться а многих,переругаться разбраниться о многих,1342
входить войти в густую массу,вступать вступить поступать поступить куда,2047
вновь вступать вступить куда,вновь уходить уйти куда,2956
вновь вступать вступить куда,вновь уходить уйти куда,2956
вновь вступать вступить куда,вновь поддержать снова взять чью л сторону в споре драке и,1356
вновь вступать вступить куда,вновь поддержать снова взять чью л сторону в споре драке и,1356
вновь вступать вступить куда,вновь сходиться сойтись с кем о супругах,3090
вновь слиться объединиться,снова опять поддержать друг друга в споре драке и,1356
вновь слиться объединиться,вновь сходиться сойтись о супругах,3090
вновь вступать вступить куда, вновь слиться (объединиться),2595
вновь вступать вступить куда, вновь слиться (объединиться),2595
разбивать разбить что во что,разбивать разбить что чем,1891
разбивать разбить что во что,разбивать разбить что чем,1891
разбитый раздробленный,разгромленный,155
увеличивать увеличить что,прибавлять прибавить повышать повысить напр зарплату,1140
сажать посадить усаживать усадить кого на мягкое,сажать посадить пятно кляксу и аъахвтан бжьыг ак аларч вара посадить пятно на платье,1889
кипятить вскипятить что с чем,заводить завести мотор,2610
сбегаться сбежаться в кучу,запутываться запутаться спутываться спутаться,2263
разбивать разбить вдребезги что в чём,разбивать разбить вдребезги что чем,1891
разбивать разбить вдребезги что в чём,разбивать разбить вдребезги что чем,1891
класть положить что в массу,вносить внести денежную сумму,2915
сидеть вместе одной компанией,шкар жить вместе одной семьёй,3062
заседать,заседание,240
падать упасть в густую массу,попадать попасть на праздник на банкет и,2514
разгораться разгореться загораться загореться,разрумяниваться разрумяниться раскраснеться от волнения и О мцата далашват у него горит лицо,1831
связать перевязать что чем,завязывать завязать кого что в чём,2638
связать перевязать что чем,завязывать завязать кого что в чём,2638
мазать что чем, обмазывать (обмазать) глиной (многое),2611
непонятливость,беззаботность беспечность,624
рассыпаться рассыпаться,распадаться распасться расстраиваться расстроиться,2166
рассыпаться рассыпаться,распадаться распасться расстраиваться расстроиться,2166
рассыпаться рассыпаться,беднеть обеднеть нищать обнищать,1541
выбирать выбрать избирать избрать кого,выбирать выбрать отбирать отобрать кого что,3005
выбирать выбрать избирать избрать кого,вытаскивать вытащить извлекать извлечь что амыгь алхра вытащить занозу,2546
выезжать выехать выходить выйти в направлении от говорящего,уходить уйти аз организации общества и,2348
давать дать возможность кому закончить что,тратить истратить растрачивать растратить чужие деньги,2964
отсортированный,убранный прибранный,333
держать кого что на руках,иметь что владеть чем,2809
держать кого что на руках,обитать водиться где о диких животных,1410
способ средство приём,возможность,263
связывать связать завернув во что либо,пеленать спеленать кого,1769
перех обмениваться обменяться кем чем,перех поменять местами что,3091
разбирать разобрать что на части,разборка,1290
друзья товарищи,сверстники,1074
соревноваться с кем,полемизировать дискутировать с кем,3088
соревноваться с кем,пререкаться с кем,1372
соревноваться друг с другом,вести полемику полемизировать дискутировать друг с другом,1377
соревноваться друг с другом,спорить друг с другом пререкаться между собой,1343
соревноваться друг с другом,соперничать друг с другом,1377
соревноваться друг с другом,спор пререкания,3064
соревноваться друг с другом,соперничество,3064
соревноваться с кем, соревноваться друг с другом,3064
устраивать устроить встречу между двумя сторонами,копить что накопить чего,3092
выходить выйти из вида транспорта,стираться стереться,1220
прерывать прервать перебивать перебить кого что,мешать помешать кому заниматься чем л,2646
читать прочитать что,учёба,693
быть одинаковыми,быть похожими походить друг на друга,3093
быть одинаковыми,одинаковость,638
восставать восстать выступать выступить кого л,антагонизм,1833
ставить поставить кого что друг против друга,противопоставлять противопоставить кого кому,2844
ставить поставить кого что друг против друга,настраивать настроить кого что друг против друга,3094
сталкиваться столкнуться друг с другом налетать налететь друг на друга,неожиданно встретиться друг с другом,3087
сталкиваться столкнуться друг с другом налетать налететь друг на друга,столкновение,3087
сшивать сшить одно с другим,пришивать пришить что к чему,2007
распиливать распилить что,перепиливать перепилить что на части,1979
приближаться приблизиться друг к другу,сближаться сблизиться с кем,3095
находиться быть недалеко друг от друга,быть близкими о друзьях родственниках и,3053
находиться быть недалеко друг от друга,быть близкими о друзьях родственниках и,3053
убегать убежать тайком сбежать,выходить выйти замуж тайком от родителей,2287
закрывать закрыть что,при креплять прикрепить что кое как,1757
бить ударять ударить по кому чему в кого что,жалить ужалить кого,2836
асфальтовый,асфальтированный,947
до того места,до того времени,711
до того места,до того времени,711
бросать бросить кидать кинуть что,отвязывать отвязать кого,2975
бросать бросить кидать кинуть что,пускать пустить что,2975
нюхать понюхать обнюхивать обнюхать кого что,обнюхивать обнюхать друг друга,1346
коченеть окоченеть закоченеть,леденеть оледенеть,1666
рушиться обрушиться,разва Об ливаться развалиться,2644
переводить перевести что,парен прогонять прогнать выгонять выгнать вышвырнуть кого напр с работы,2515
побуд от ахъышвтра опрокидывать опрокинуть что,лицевать перелицовывать перелицевать что,1634
уходить уйти уезжать уехать куда,уходить уйти увольняться уволиться с работы,2695
действие совершаемое совместно с кем чем напр ацчара есть вместе,пребывание вместе с кем чем л,1384
читать прочитать вместе что,учиться вместе с кем,1403
читать прочитать вместе что,учиться вместе с кем,1403
читать прочитать вместе что,учиться вместе с кем,1403
похоже,одинаково,223
жить с кем,сосуществовать с чем,1385
жить вместе,сосуществовать с чем,3097
жить вместе,совместная жизнь,3062
жить вместе,сосуществование,3097
жить с кем, жить вместе,1385
бодаться друг с другом,подковыривать подковырнуть друг друга,1329
привязывать привязать кого что к ко му чему,связывать связать вместе кого что,1401
добавлять добавить что чего,добавление,1131
выходить выйти из под чего,вылезать вылезти из под чего,2274
поддерживать поддержать друг друга помогать помочь друг другу,подрастать подрасти о скоте о птице,3060
заходить зайти подо что,поступать поступить в учебное заведение,2272
мочить помочить квасить заквасить что,солка засолка,2012
нанизывать нанизать что на что,вдевать вдеть продевать продеть что,1962
растягиваться растянуться,разнашиваться разноситься растаптываться растоптаться об обуви атуфльаква ац ыц т туфли разносились,2467
терять потерять растерять друг друга потеряться,ссориться поссориться,1350
придерживать придержать кого что,придерживать придержать приостанавливать приостановить что,2742
осыпаться осыпаться опадать опасть,худеть похудеть исхудать,1520
обувать обуть кого,надевать надеть что на ноги,2771
хлопок,вата,322
хлопок,ватный,322
позвоночник,позвонок,407
волочить поволочить вниз кого что,стаскивать стащить кого что напр со стога скирды,2743
лист книги тетради,лист листья,1012
место пространство между чем,промежуток расстояние,3050
язык,сплетня,1038
место для вырубки леса порубка,лесосека,352
перех жечь сжигать сжечь кого что,неперех гореть сгореть,2660
стоянка место стоянки,место работы,901
приятный,приветливый,17
быть приятным,быть приветливым,568
ворота,калитка,341
прямой откровенный чистосердечный,наивный легковерный,824
прямота откровенность чистосердечность,наивность легковерие,545
воодушевление,радость,905
очень спешить торопиться,скорбеть горевать по поводу чьей л кончины,1544
группа,среда окружение,917
группа,компанейский,935
чистосердечность чистосердечие искренность,добродушие,546
круглый,шарообразный,277
широкий, круглый,1004
брезент,брезентовый,278
брезент,холстинный полотняный,278
вести повести друг друга по направлению к говорящему,идти пойти всем вместе по направлению к говорящему,2342
бежать мчаться по направлению к говорящему о многих,гнаться погнаться друг за другом по направлению к говорящему,2696
входить войти въезжать въехать между чем по направлению к говорящему,посредничать становиться стать посредником между кем,2337
оживать ожить воскресать воскреснуть,ирон выздоравливать выздороветь,2584
провожать проводить кого по направлению к говорящему,дарить подарить что кому,2648
собирать собрать кого в дорогу,собирать собрать на стол накрывать накрыть стол,1758
собирать собрать в одно место кого что,загребать загрести что,3019
отнимать отнять что у кого,снимать снять что с чего,3006
сходить сойти съезжать съехать с чего по направлению к говорящему,отклеиваться отклеиться отставать отстать отлепляться отлепиться от чего,2352
падать упасть сверху вниз по направлению к говорящему,очутиться оказаться,2373
падать упасть сверху вниз по направлению к говорящему,очутиться оказаться,2373
прогонять прогнать отгонять отогнать кого от окна и,притеснять кого,2515
сносить снести что сверху вниз,стаскивать стащить кого напр с лошади,2782
неперех увеличиваться увеличиться,перех прибавлять прибавить добавлять добавить что чего,2735
выходить выйти из леса зарослей и п по направлению к говорящему,выходить выйти из социальной среды,1832
выходить выйти из леса зарослей и п по направлению к говорящему,уходить уйти от мужа,2697
выскакивать выскочить из леса зарослей и п по направлению к говорящему,откалываться отколоться,2371
выпускать выпустить кого из леса зарослей и п по направлению к говорящему,выкраивать выкроить что сэкономить на чём,1803
спорить с кем,соревноваться с кем,3088
появляться появиться на свет рождаться родиться,появляться появиться возникать возникнуть,1104
оставлять оставить кого что где,сохранять сохранить приберегать приберечь что,2945
